iter	Passed	Remaining
934	1474	102
935	1475	100
936	1476	99
937	1477	97
938	1480	96
939	1481	94
940	1483	92
941	1483	91
942	1488	89
943	1489	88
944	1490	86
945	1491	85
946	1492	83
947	1493	81
948	1494	80
949	1499	78
950	1500	77
951	1503	75
952	1503	74
953	1504	72
954	1505	70
955	1506	69
956	1507	67
957	1508	66
958	1509	64
959	1510	62
960	1510	61
961	1511	59
962	1512	58
963	1513	56
964	1514	54
965	1515	53
966	1522	51
967	1522	50
968	1523	48
969	1524	47
970	1526	45
971	1527	43
972	1528	42
973	1529	40
974	1530	39
975	1531	37
976	1534	36
977	1537	34
978	1538	33
979	1556	31
980	1557	30
981	1559	28
982	1559	26
983	1560	25
984	1561	23
985	1562	22
986	1563	20
987	1572	19
988	1573	17
989	1576	15
990	1577	14
991	1577	12
992	1578	11
993	1589	9
994	1589	7
995	1590	6
996	1592	4
997	1593	3
998	1594	1
999	1595	0
